author,lat,lon,habitat_type
zooper: EMP,38.0705,-121.7786,perennial instream
zooper: EMP,38.0622,-121.8146,perennial instream
zooper: EMP,38.0972,-121.7293,perennial instream
zooper: EMP,38.1257,-121.6973,perennial instream
zooper: EMP,38.0625,-121.8226,perennial instream
zooper: EMP,38.1126,-121.7104,perennial instream
zooper: EMP,38.1216,-121.699,perennial instream
zooper: EMP,38.0625,-121.8178,perennial instream
zooper: EMP,38.0625,-121.7935,perennial instream
zooper: EMP,38.0603,-121.8,perennial instream
zooper: EMP,38.0622,-121.8233,perennial instream
zooper: EMP,38.1006,-121.726917,perennial instream
zooper: EMP,38.1412,-121.6912,perennial instream
zooper: EMP,38.0642,-121.7923,perennial instream
zooper: EMP,38.0783,-121.7633,perennial instream
zooper: EMP,38.0643,-121.8428,perennial instream
zooper: EMP,38.0655,-121.7891,perennial instream
zooper: EMP,38.0648,-121.8347,perennial instream
zooper: EMP,38.0825,-121.7535,perennial instream
zooper: EMP,38.06696,-121.783843,perennial instream
zooper: EMP,38.0645,-121.791,perennial instream
zooper: EMP,38.1642,-121.679,perennial instream
zooper: EMP,38.0668,-121.7902,perennial instream
zooper: EMP,38.0997,-121.7218,perennial instream
zooper: EMP,38.177499999999995,-121.66666666666667,perennial instream
zooper: EMP,38.0618,-121.7911,perennial instream
zooper: EMP,38.0659,-121.7794,perennial instream
zooper: EMP,38.064,-121.7913,perennial instream
zooper: EMP,38.1032,-121.7232,perennial instream
zooper: EMP,38.0751,-121.7695,perennial instream
zooper: EMP,38.0662,-121.7871,perennial instream
zooper: EMP,38.0752,-121.769,perennial instream
zooper: EMP,38.1407,-121.6911,perennial instream
zooper: EMP,38.1179,-121.7027,perennial instream
zooper: EMP,38.07755,-121.7634,perennial instream
zooper: EMP,38.1341,-121.6943,perennial instream
zooper: EMP,38.131100000000004,-121.6951,perennial instream
zooper: EMP,38.25833333333333,-121.69166666666668,perennial instream
zooper: EMP,38.077275,-121.765405,perennial instream
